source,target,type,weight
107,0,spatial,0.0
107,1,spatial,0.0
107,2,spatial,0.0
107,3,spatial,0.0
107,4,spatial,0.0
107,5,spatial,0.0
107,6,spatial,0.0
107,7,spatial,0.0
108,0,spatial,0.0
108,1,spatial,0.0
108,2,spatial,0.0
108,3,spatial,0.0
108,4,spatial,0.0
108,5,spatial,0.0
108,6,spatial,0.0
108,7,spatial,0.0
109,0,spatial,0.0
109,1,spatial,0.0
109,2,spatial,0.0
109,3,spatial,0.0
109,4,spatial,0.0
109,5,spatial,0.0
109,6,spatial,0.0
109,7,spatial,0.0
110,0,spatial,0.0
110,1,spatial,0.0
110,2,spatial,0.0
110,3,spatial,0.0
110,4,spatial,0.0
110,5,spatial,0.0
110,6,spatial,0.0
110,7,spatial,0.0
111,0,spatial,0.0
111,1,spatial,0.0
111,2,spatial,0.0
111,3,spatial,0.0
111,4,spatial,0.0
111,5,spatial,0.0
111,6,spatial,0.0
111,7,spatial,0.0
112,0,spatial,0.0
112,1,spatial,0.0
112,2,spatial,0.0
112,3,spatial,0.0
112,4,spatial,0.0
112,5,spatial,0.0
112,6,spatial,0.0
112,7,spatial,0.0
113,0,spatial,0.0
113,1,spatial,0.0
113,2,spatial,0.0
113,3,spatial,0.0
113,4,spatial,0.0
113,5,spatial,0.0
113,6,spatial,0.0
113,7,spatial,0.0
114,0,spatial,0.0
114,1,spatial,0.0
114,2,spatial,0.0
114,3,spatial,0.0
114,4,spatial,0.0
114,5,spatial,0.0
114,6,spatial,0.0
114,7,spatial,0.0
115,0,spatial,0.0
115,1,spatial,0.0
115,2,spatial,0.0
115,3,spatial,0.0
115,4,spatial,0.0
115,5,spatial,0.0
115,6,spatial,0.0
115,7,spatial,0.0
116,0,spatial,0.0
116,1,spatial,0.0
116,2,spatial,0.0
116,3,spatial,0.0
116,4,spatial,0.0
116,5,spatial,0.0
116,6,spatial,0.0
116,7,spatial,0.0
117,0,spatial,0.0
117,1,spatial,0.0
117,2,spatial,0.0
117,3,spatial,0.0
117,4,spatial,0.0
117,5,spatial,0.0
117,6,spatial,0.0
117,7,spatial,0.0
118,0,spatial,0.0
118,1,spatial,0.0
118,2,spatial,0.0
118,3,spatial,0.0
118,4,spatial,0.0
118,5,spatial,0.0
118,6,spatial,0.0
118,7,spatial,0.0
119,0,spatial,0.0
119,1,spatial,0.0
119,2,spatial,0.0
119,3,spatial,0.0
119,4,spatial,0.0
119,5,spatial,0.0
119,6,spatial,0.0
119,7,spatial,0.0
120,0,spatial,0.0
120,1,spatial,0.0
120,2,spatial,0.0
120,3,spatial,0.0
120,4,spatial,0.0
120,5,spatial,0.0
120,6,spatial,0.0
120,7,spatial,0.0
121,0,spatial,0.0
121,1,spatial,0.0
121,2,spatial,0.0
121,3,spatial,0.0
121,4,spatial,0.0
121,5,spatial,0.0
121,6,spatial,0.0
121,7,spatial,0.0
122,0,spatial,0.0
